restaurant_id,name,city,cuisine,aggregate_rating,votes,average_cost_for_two,delivery_time_mins,is_online_delivery,has_table_booking,restaurant_type,rating_category
2001,Resto_1,Pune,South Indian,3.9,170,800,23,1,1,Casual Dining,Good
2002,Resto_2,Hyderabad,North Indian,3.0,158,600,48,1,0,Quick Bites,Good
2003,Resto_3,Pune,Fast Food,3.6,152,600,53,1,1,Cafe,Good
2004,Resto_4,Bengaluru,Chinese,4.1,114,600,64,0,0,Quick Bites,Very Good
2005,Resto_5,Chennai,Fast Food,3.6,132,350,48,1,0,Quick Bites,Good
2006,Resto_6,Bengaluru,Biryani,4.2,171,450,47,1,1,Casual Dining,Very Good
2007,Resto_7,Pune,Biryani,2.3,166,250,25,1,0,Quick Bites,Average
2008,Resto_8,Delhi,Biryani,4.4,137,250,27,1,0,Cafe,Very Good
2009,Resto_9,Kolkata,South Indian,4.4,129,350,15,1,0,Casual Dining,Very Good
2010,Resto_10,Bengaluru,Fast Food,3.0,127,450,55,0,1,Quick Bites,Good
2011,Resto_11,Kolkata,Continental,4.6,177,450,32,1,0,Quick Bites,Excellent
2012,Resto_12,Delhi,Fast Food,4.0,153,600,29,0,0,Quick Bites,Very Good
2013,Resto_13,Pune,South Indian,3.5,148,450,43,1,1,Quick Bites,Good
2014,Resto_14,Delhi,Chinese,3.9,151,600,55,1,0,Casual Dining,Good
2015,Resto_15,Mumbai,South Indian,4.1,124,250,20,1,0,Quick Bites,Very Good
2016,Resto_16,Delhi,Chinese,3.6,141,800,39,1,1,Casual Dining,Good
2017,Resto_17,Pune,Fast Food,1.9,153,600,37,1,0,Quick Bites,Average
2018,Resto_18,Ahmedabad,Chinese,3.6,148,800,49,1,0,Quick Bites,Good
2019,Resto_19,Delhi,South Indian,3.1,134,250,44,1,1,Casual Dining,Good
2020,Resto_20,Mumbai,Continental,3.2,127,250,34,1,0,Casual Dining,Good
2021,Resto_21,Pune,Chinese,3.9,160,450,56,1,0,Casual Dining,Good
2022,Resto_22,Mumbai,South Indian,4.2,180,600,23,1,1,Casual Dining,Very Good
2023,Resto_23,Ahmedabad,North Indian,4.1,134,600,33,1,0,Quick Bites,Very Good
2024,Resto_24,Delhi,Biryani,4.5,165,350,31,0,0,Casual Dining,Excellent
2025,Resto_25,Kolkata,North Indian,3.9,152,450,27,1,1,Quick Bites,Good
2026,Resto_26,Pune,Fast Food,4.0,146,350,40,1,0,Quick Bites,Very Good
2027,Resto_27,Hyderabad,North Indian,4.3,145,450,49,1,1,Quick Bites,Very Good
2028,Resto_28,Chennai,Continental,4.5,153,450,35,0,1,Quick Bites,Excellent
2029,Resto_29,Mumbai,Italian,5.0,158,250,23,0,0,Delivery,Excellent
2030,Resto_30,Mumbai,Biryani,4.4,144,450,49,0,0,Cafe,Very Good
2031,Resto_31,Chennai,South Indian,4.9,147,250,58,1,0,Quick Bites,Excellent
2032,Resto_32,Delhi,Chinese,4.0,146,250,49,1,0,Casual Dining,Very Good
2033,Resto_33,Ahmedabad,North Indian,3.7,158,800,34,1,0,Casual Dining,Good
2034,Resto_34,Kolkata,North Indian,2.8,147,350,21,0,0,Cafe,Average
2035,Resto_35,Bengaluru,Italian,2.5,153,450,61,1,0,Quick Bites,Average
2036,Resto_36,Chennai,Continental,3.0,166,800,18,1,0,Casual Dining,Good
2037,Resto_37,Ahmedabad,South Indian,3.9,139,450,55,1,0,Quick Bites,Good
2038,Resto_38,Bengaluru,Chinese,3.2,171,350,37,1,0,Casual Dining,Good
2039,Resto_39,Chennai,South Indian,5.0,162,800,24,1,0,Casual Dining,Excellent
2040,Resto_40,Ahmedabad,Fast Food,3.4,171,350,55,1,1,Quick Bites,Good
2041,Resto_41,Mumbai,Continental,3.6,136,450,50,1,1,Quick Bites,Good
2042,Resto_42,Hyderabad,Desserts,3.9,163,450,25,1,0,Cafe,Good
2043,Resto_43,Mumbai,Biryani,3.8,175,450,46,1,1,Cafe,Good
2044,Resto_44,Ahmedabad,Chinese,4.6,164,250,46,1,0,Quick Bites,Excellent
2045,Resto_45,Delhi,Continental,3.4,166,350,46,1,0,Casual Dining,Good
2046,Resto_46,Kolkata,North Indian,5.0,165,450,64,1,0,Quick Bites,Excellent
2047,Resto_47,Chennai,Fast Food,3.5,158,450,51,1,0,Casual Dining,Good
2048,Resto_48,Chennai,Chinese,3.0,121,600,49,1,0,Quick Bites,Good
2049,Resto_49,Chennai,Fast Food,4.1,150,600,26,1,0,Casual Dining,Very Good
2050,Resto_50,Pune,North Indian,3.4,131,800,20,1,0,Casual Dining,Good
